SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
VELS,Vels Film International Limited,SM,22-Mar-23,10,INE0I3H01019,10,
MCON,Mcon Rasayan India Limited,SM,20-Mar-23,10,INE0O4M01019,10,
SYSTANGO,Systango Technologies Limited,SM,15-Mar-23,10,INE0O7R01011,10,
VERTEXPLUS,Vertexplus Technologies Limited,SM,15-Mar-23,10,INE0NLB01018,10,
SRIVASAVI,Srivasavi Adhesive Tapes Limited,SM,09-Mar-23,10,INE0NPI01014,10,
VIAZ,Viaz Tyres Limited,SM,01-Mar-23,10,INE0MO401019,10,
AGARWALFT,Agarwal Float Glass India Limited,SM,23-Feb-23,10,INE0MLA01012,10,
LRRPL,Lead Reclaim And Rubber Products Limited,ST,21-Feb-23,10,INE0H4B01011,10,
SHERA,Shera Energy Limited,SM,17-Feb-23,10,INE0MM001019,10,
GRCL,Gayatri Rubbers And Chemicals Limited,ST,07-Feb-23,10,INE0LVM01018,10,
ARISTO,Aristo Bio-Tech And Lifescience Limited,ST,30-Jan-23,10,INE082101010,10,
DUCOL,Ducol Organics And Colours Limited,SM,19-Jan-23,10,INE0LZO01015,10,
CMNL,Chaman Metallics Limited,ST,16-Jan-23,10,INE06PV01010,10,
ANLON,Anlon Technology Solutions Limited,SM,10-Jan-23,10,INE0LR101013,10,
RBMINFRA,Rbm Infracon Limited,ST,04-Jan-23,10,INE0NA301016,10,
HOMESFY,Homesfy Realty Limited,SM,02-Jan-23,10,INE0N7F01017,10,
MOXSH,Moxsh Overseas Educon Limited,SM,30-Dec-22,10,INE0N6D01014,10,
ARIHANTACA,Arihant Academy Limited,ST,29-Dec-22,10,INE0NCC01015,10,
UMA,Uma Converter Limited,SM,29-Dec-22,10,INE067901012,10,
DOLLEX,Dollex Agrotech Limited,SM,28-Dec-22,10,INE0JHH01011,10,
ALLETEC,All E Technologies Limited,ST,21-Dec-22,10,INE0M2X01012,10,
ARHAM,Arham Technologies Limited,SM,15-Dec-22,10,INE0L2Y01011,10,
BAHETI,Baheti Recycling Industries Limited,ST,08-Dec-22,10,INE029Q01017,10,
PRITIKA,Pritika Engineering Components Limited,ST,08-Dec-22,10,INE0MJQ01012,10,
AMIABLE,Amiable Logistics (India) Limited,SM,16-Nov-22,10,INE0MTP01013,10,
VITAL,Vital Chemtech Limited,SM,14-Nov-22,10,INE0L4K01016,10,
